id,symbol,timeframe,timestamp,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,ema_50,rsi_14,atr_14,bb_upper_20,bb_middle_20,bb_lower_20,macd_line,macd_signal,macd_histogram,created_at,updated_at,stoch_k,stoch_d,ob_bullish_high,ob_bullish_low,ob_bearish_high,ob_bearish_low
4075202,EURUSD,H1,2025-01-31 16:10:00+00,1.04173000,1.04340000,1.04166000,1.04257000,1522.00000000,1.03965650,1.03848680,1.03862560,1.03997794,1.03925214,1.03873678,77.58511972,0.00074245,1.04180779,1.03965650,1.03750521,0.00072580,0.00058870,0.00013710,2026-02-06 00:14:25.28088+00,2026-02-06 02:15:10.35209+00,82.6722338204573,81.81801245437637,,,,
4079196,EURUSD,H1,2025-01-31 18:15:00+00,1.03697000,1.03710000,1.03676000,1.03690000,512.00000000,1.03920450,1.03953440,1.03874445,1.03795294,1.03896894,1.03920451,35.46839376,0.00095268,1.04369130,1.03920450,1.03471770,-0.00101600,-0.00063963,-0.00037637,2026-02-06 00:20:48.845862+00,2026-02-06 02:15:10.35209+00,12.126245847174548,10.299003322257905,,,,
4079200,EURUSD,H1,2025-02-03 18:10:00+00,1.02832000,1.02912000,1.02826000,1.02912000,389.00000000,1.02818400,1.02912940,1.02548635,1.02809857,1.02830868,1.02825636,59.30513455,0.00073960,1.02890073,1.02818400,1.02746727,-0.00021011,-0.00026140,0.00005129,2026-02-06 00:20:48.845862+00,2026-02-06 02:15:10.35209+00,100.0,71.80853566722995,,,,
4079201,EURUSD,H1,2025-02-04 03:20:00+00,1.03132000,1.03145000,1.03126000,1.03144000,179.00000000,1.03171550,1.03178060,1.02994885,1.03148426,1.03167675,1.03180725,44.35633041,0.00027173,1.03248669,1.03171550,1.03094431,-0.00019249,-0.00015280,0.00000000,2026-02-06 00:20:48.845862+00,2026-02-06 02:15:10.35209+00,30.476190476178797,23.892572074389587,,,,
4079202,EURUSD,H1,2025-02-04 15:20:00+00,1.03771000,1.03788000,1.03737000,1.03755000,619.00000000,1.03733650,1.03514900,1.03263015,1.03768877,1.03679700,1.03566580,57.34553380,0.00070307,1.03911321,1.03733650,1.03555979,0.00089178,0.00097104,-0.00007926,2026-02-06 00:20:48.845862+00,2026-02-06 02:15:10.35209+00,60.740740740737394,64.84785254738037,,,,
4079204,EURUSD,H1,2025-02-04 20:50:00+00,1.03786000,1.03809000,1.03780000,1.03805000,220.00000000,1.03817250,1.03812440,1.03472885,1.03805415,1.03811114,1.03792781,48.55717682,0.00025639,1.03859135,1.03817250,1.03775365,-0.00005699,0.00000243,-0.00005942,2026-02-06 00:20:48.845862+00,2026-02-06 02:15:10.35209+00,26.26262626261765,19.865319865314504,,,,
4079205,EURUSD,H1,2025-02-05 00:30:00+00,1.03851000,1.03852000,1.03791000,1.03809000,475.00000000,1.03771950,1.03779740,1.03628665,1.03798238,1.03784934,1.03781660,54.01381045,0.00036759,1.03853939,1.03771950,1.03689961,0.00013304,0.00004095,0.00009209,2026-02-06 00:20:48.845862+00,2026-02-06 02:15:10.35209+00,61.68831168830823,76.03099118886884,,,,
4079206,EURUSD,H1,2025-02-05 13:05:00+00,1.04065000,1.04189000,1.04065000,1.04180000,802.00000000,1.04142300,1.04156460,1.03927215,1.04103223,1.04126492,1.04120447,55.33009243,0.00053868,1.04252645,1.04142300,1.04031955,-0.00023269,-0.00011184,-0.00012085,2026-02-06 00:20:48.845862+00,2026-02-06 02:15:10.35209+00,67.76859504132338,38.42975206611832,,,,
4079207,EURUSD,H1,2025-02-05 23:05:00+00,1.04004000,1.04024000,1.04001000,1.04012000,211.00000000,1.04014000,1.04026820,1.04114780,1.04006975,1.04017553,1.04038904,48.52414622,0.00024365,1.04051651,1.04014000,1.03976349,-0.00010577,-0.00010178,0.00000000,2026-02-06 00:20:48.845862+00,2026-02-06 02:15:10.35209+00,50.64935064934054,35.93073593073393,,,,
4079208,EURUSD,H1,2025-02-06 00:25:00+00,1.04011000,1.04013000,1.03994000,1.04000000,204.00000000,1.03991000,1.04010120,1.04112720,1.03991819,1.03997446,1.04015322,50.54207528,0.00025606,1.04022850,1.03991000,1.03959150,-0.00005627,-0.00009953,0.00000000,2026-02-06 00:20:48.845862+00,2026-02-06 02:15:10.35209+00,67.99999999999882,78.98934550989476,,,,
