id,symbol,timeframe,timestamp,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,ema_50,rsi_14,stoch_k,stoch_d,atr_14,bb_upper_20,bb_middle_20,bb_lower_20,macd_line,macd_signal,macd_histogram,created_at,updated_at,ob_bullish_high,ob_bullish_low,ob_bearish_high,ob_bearish_low
536527,GBPUSD,H1,2010-05-10 18:00:00+00,1.48512000,1.48853000,1.48389000,1.48557000,4014.00000000,1.49093450,1.48301900,1.51116510,1.49388254,1.48998253,1.48983806,45.44638271,11.02610261,28.66786679,0.00678831,1.50604449,1.49093450,1.47582451,0.00390000,0.00406913,-0.00016913,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536528,GBPUSD,H1,2010-05-10 19:00:00+00,1.48561000,1.48820000,1.48458000,1.48781000,2395.00000000,1.49145800,1.48299880,1.51101705,1.49260368,1.48965568,1.48967069,48.12173261,21.10711071,13.74137414,0.00663486,1.50532184,1.49145800,1.47759416,0.00294801,0.00384491,-0.00089690,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536529,GBPUSD,H1,2010-05-10 20:00:00+00,1.48780000,1.48819000,1.48444000,1.48576000,2597.00000000,1.49172850,1.48282140,1.51085925,1.49186619,1.48951896,1.48959772,45.90307960,11.88118812,14.67146715,0.00641952,1.50490914,1.49172850,1.47854786,0.00234723,0.00354537,-0.00119814,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536530,GBPUSD,H1,2010-05-10 21:00:00+00,1.48583000,1.48723000,1.48447000,1.48447000,2132.00000000,1.49180400,1.48272660,1.51068825,1.49092678,1.48924052,1.48944722,44.51232985,6.07560756,13.02130213,0.00622884,1.50479886,1.49180400,1.47880914,0.00168626,0.00317355,-0.00148729,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536531,GBPUSD,H1,2010-05-10 22:00:00+00,1.48448000,1.48719000,1.48424000,1.48552000,1058.00000000,1.49176150,1.48286260,1.51051995,1.48993343,1.48888715,1.48925204,45.94783428,7.59906760,8.51862109,0.00598106,1.50483250,1.49176150,1.47869050,0.00104628,0.00274810,-0.00170182,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536532,GBPUSD,H1,2010-05-10 23:00:00+00,1.48532000,1.48667000,1.48530000,1.48581000,1064.00000000,1.49173250,1.48287860,1.51033550,1.48925444,1.48863773,1.48910568,46.36058276,8.95104895,7.54190804,0.00576456,1.50485352,1.49173250,1.47861148,0.00061671,0.00232182,-0.00170511,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536533,GBPUSD,H1,2010-05-11 00:00:00+00,1.48580000,1.48581000,1.48180000,1.48342000,2431.00000000,1.49149250,1.48288420,1.51015275,1.48872453,1.48842827,1.48897644,43.41801208,6.88190314,7.81067323,0.00545066,1.50503070,1.49149250,1.47795430,0.00029626,0.00191671,-0.00162045,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536534,GBPUSD,H1,2010-05-11 01:00:00+00,1.48343000,1.48476000,1.48213000,1.48307000,2734.00000000,1.49122900,1.48299240,1.50996745,1.48790845,1.48805729,1.48875854,42.98770636,5.39507222,7.07600810,0.00534776,1.50520058,1.49122900,1.47725742,-0.00014884,0.00150360,-0.00165244,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536535,GBPUSD,H1,2010-05-11 02:00:00+00,1.48313000,1.48725000,1.48258000,1.48534000,2143.00000000,1.49121200,1.48297180,1.50981655,1.48716407,1.48768786,1.48853546,46.67875652,15.03823280,9.10506939,0.00515363,1.50521135,1.49121200,1.47721265,-0.00052379,0.00109812,-0.00162191,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536536,GBPUSD,H1,2010-05-11 03:00:00+00,1.48536000,1.48696000,1.48185000,1.48214000,1800.00000000,1.49100250,1.48281980,1.50963450,1.48688344,1.48751394,1.48841015,42.50147066,1.44435004,7.29255169,0.00511909,1.50540735,1.49100250,1.47659765,-0.00063050,0.00075240,-0.00138290,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536537,GBPUSD,H1,2010-05-11 04:00:00+00,1.48212000,1.48258000,1.48047000,1.48118000,1879.00000000,1.49050950,1.48269180,1.50945165,1.48615368,1.48711587,1.48816426,41.30718971,3.29466357,6.59241547,0.00511844,1.50553692,1.49050950,1.47548208,-0.00096219,0.00040948,-0.00137167,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536538,GBPUSD,H1,2010-05-11 05:00:00+00,1.48119000,1.48316000,1.47753000,1.48312000,2798.00000000,1.48987500,1.48270060,1.50927240,1.48538850,1.48667618,1.48789037,44.68958708,22.82564312,9.18821891,0.00490355,1.50502475,1.48987500,1.47472525,-0.00128768,0.00007005,-0.00135773,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536539,GBPUSD,H1,2010-05-11 06:00:00+00,1.48311000,1.48449000,1.48026000,1.48099000,3255.00000000,1.48892950,1.48265060,1.50908275,1.48503950,1.48641276,1.48770329,41.83869726,17.01918347,14.37983006,0.00495544,1.50381666,1.48892950,1.47404234,-0.00137326,-0.00021861,-0.00115465,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536540,GBPUSD,H1,2010-05-11 07:00:00+00,1.48098000,1.48272000,1.47641000,1.48003000,4520.00000000,1.48793300,1.48248240,1.50887930,1.48441650,1.48601107,1.48744003,40.58213139,29.86798680,23.23760446,0.00490362,1.50239541,1.48793300,1.47347059,-0.00159457,-0.00049380,-0.00110077,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536541,GBPUSD,H1,2010-05-11 08:00:00+00,1.48000000,1.48667000,1.47898000,1.48287000,4876.00000000,1.48702700,1.48262620,1.50869225,1.48374165,1.48556803,1.48714944,45.77097620,54.79219678,33.89312235,0.00500408,1.50032767,1.48702700,1.47372633,-0.00182638,-0.00076032,-0.00106606,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536542,GBPUSD,H1,2010-05-11 09:00:00+00,1.48288000,1.48857000,1.48183000,1.48461000,4668.00000000,1.48604900,1.48297760,1.50851475,1.48360755,1.48536818,1.48698162,48.72539158,67.43421053,50.69813137,0.00519593,1.49679487,1.48604900,1.47530313,-0.00176062,-0.00096038,-0.00080024,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536543,GBPUSD,H1,2010-05-11 10:00:00+00,1.48463000,1.48671000,1.47897000,1.47980000,5033.00000000,1.48516000,1.48325620,1.50831835,1.48376178,1.48531201,1.48688861,41.92554657,27.87828947,50.03489893,0.00530622,1.49483108,1.48516000,1.47548892,-0.00155024,-0.00107835,-0.00047189,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536544,GBPUSD,H1,2010-05-11 11:00:00+00,1.47982000,1.48092000,1.47403000,1.47508000,4517.00000000,1.48397450,1.48332740,1.50810800,1.48315227,1.48490372,1.48661063,36.53714568,7.22145805,34.17798602,0.00548006,1.49240504,1.48397450,1.47554396,-0.00175144,-0.00121297,-0.00053847,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
536545,GBPUSD,H1,2010-05-11 12:00:00+00,1.47510000,1.47772000,1.47197000,1.47652000,4733.00000000,1.48291250,1.48358800,1.50790735,1.48191038,1.48417603,1.48615845,39.10839258,27.40963855,20.83646202,0.00558077,1.48921079,1.48291250,1.47661421,-0.00226565,-0.00142351,-0.00084214,2026-02-06 12:35:50.228419+00,2026-02-07 16:20:35.969281+00,,,,
