rate_time,open,high,low,close,volume,readable_date
1668729600,1.03634000,1.03659000,1.03594000,1.03599000,1945.00000000,2022-11-18 00:00:00
1668733200,1.03599000,1.03731000,1.03563000,1.03705000,2506.00000000,2022-11-18 01:00:00
1668736800,1.03705000,1.03771000,1.03610000,1.03669000,3975.00000000,2022-11-18 02:00:00
1668740400,1.03669000,1.03771000,1.03638000,1.03668000,3669.00000000,2022-11-18 03:00:00
1668744000,1.03667000,1.03901000,1.03664000,1.03818000,3226.00000000,2022-11-18 04:00:00
1668747600,1.03818000,1.03821000,1.03603000,1.03642000,2702.00000000,2022-11-18 05:00:00
1668751200,1.03642000,1.03712000,1.03610000,1.03709000,2795.00000000,2022-11-18 06:00:00
1668754800,1.03709000,1.03760000,1.03590000,1.03750000,3306.00000000,2022-11-18 07:00:00
1668758400,1.03747000,1.03850000,1.03662000,1.03746000,5195.00000000,2022-11-18 08:00:00
1670508000,1.05178000,1.05309000,1.05100000,1.05196000,6967.00000000,2022-12-08 14:00:00
1768910400,1.17311000,1.17391000,1.17226000,1.17350000,6182.00000000,2026-01-20 12:00:00
1768914000,1.17350000,1.17438000,1.17257000,1.17258000,6555.00000000,2026-01-20 13:00:00
1768917600,1.17260000,1.17689000,1.17185000,1.17334000,12725.00000000,2026-01-20 14:00:00
1768921200,1.17334000,1.17371000,1.17153000,1.17193000,13893.00000000,2026-01-20 15:00:00
1768924800,1.17193000,1.17373000,1.17163000,1.17271000,10784.00000000,2026-01-20 16:00:00
1768942800,1.17124000,1.17205000,1.17110000,1.17196000,6414.00000000,2026-01-20 21:00:00
1768946400,1.17195000,1.17270000,1.17177000,1.17267000,1680.00000000,2026-01-20 22:00:00
1768950000,1.17247000,1.17259000,1.17213000,1.17223000,855.00000000,2026-01-20 23:00:00
1768953600,1.17238000,1.17290000,1.17219000,1.17272000,1226.00000000,2026-01-21 00:00:00
1768957200,1.17268000,1.17268000,1.17167000,1.17237000,3123.00000000,2026-01-21 01:00:00
1768960800,1.17238000,1.17343000,1.17226000,1.17291000,5046.00000000,2026-01-21 02:00:00
1768964400,1.17291000,1.17318000,1.17244000,1.17265000,3357.00000000,2026-01-21 03:00:00
1768968000,1.17265000,1.17290000,1.17108000,1.17190000,4094.00000000,2026-01-21 04:00:00
1768971600,1.17190000,1.17205000,1.17141000,1.17182000,2788.00000000,2026-01-21 05:00:00
1768975200,1.17182000,1.17217000,1.17156000,1.17174000,2828.00000000,2026-01-21 06:00:00
1768978800,1.17174000,1.17251000,1.17156000,1.17240000,3198.00000000,2026-01-21 07:00:00
1768982400,1.17234000,1.17255000,1.17101000,1.17170000,6235.00000000,2026-01-21 08:00:00
1768986000,1.17170000,1.17187000,1.17051000,1.17103000,6215.00000000,2026-01-21 09:00:00
1768989600,1.17103000,1.17128000,1.17013000,1.17036000,4817.00000000,2026-01-21 10:00:00
1768993200,1.17036000,1.17086000,1.17015000,1.17070000,4585.00000000,2026-01-21 11:00:00
1768996800,1.17070000,1.17204000,1.17040000,1.17141000,5109.00000000,2026-01-21 12:00:00
1769000400,1.17141000,1.17359000,1.17121000,1.17350000,5741.00000000,2026-01-21 13:00:00
1769004000,1.17351000,1.17430000,1.17287000,1.17397000,6863.00000000,2026-01-21 14:00:00
1769007600,1.17397000,1.17409000,1.17153000,1.17248000,14683.00000000,2026-01-21 15:00:00
1769011200,1.17249000,1.17286000,1.17007000,1.17020000,11452.00000000,2026-01-21 16:00:00
1769014800,1.17020000,1.17107000,1.16947000,1.17033000,9098.00000000,2026-01-21 17:00:00
1769018400,1.17033000,1.17117000,1.16972000,1.17029000,7428.00000000,2026-01-21 18:00:00
1769022000,1.17029000,1.17034000,1.16937000,1.16970000,4915.00000000,2026-01-21 19:00:00
