rate_time,open,high,low,close,volume,readable_date
1770735600,1.36812,1.36967,1.36704,1.36774,15353,2026-02-10 15:00:00
1770732000,1.36855,1.36917,1.3666,1.36814,13889,2026-02-10 14:00:00
1770724800,1.36651,1.36655,1.36587,1.36632,5606,2026-02-10 12:00:00
1770728400,1.36633,1.36927,1.36623,1.36856,10860,2026-02-10 13:00:00
1668704400,1.17765,1.18115,1.17641,1.18082,8649,
1668708000,1.18086,1.18426,1.18085,1.18357,9277,
1668711600,1.18356,1.18632,1.18331,1.18506,7105,
1668729600,1.18627,1.1865999999999999,1.18559,1.1857199999999999,5344,
1668733200,1.18573,1.18943,1.18567,1.18887,5545,
1668736800,1.18886,1.19001,1.18808,1.18848,7445,
1668740400,1.18845,1.19087,1.18844,1.18951,7400,
1668744000,1.18953,1.193,1.1892800000000001,1.19177,6565,
1668747600,1.19176,1.1919,1.18862,1.18902,6280,
1668751200,1.18902,1.1903299999999999,1.18869,1.19018,5822,
1668754800,1.19019,1.1905999999999999,1.188,1.18992,7017,
1668758400,1.18998,1.1922,1.18847,1.19159,8931,
1668762000,1.19159,1.19168,1.18809,1.1905000000000001,12109,
1668765600,1.1905000000000001,1.19493,1.1893799999999999,1.1926,10080,
1668769200,1.1926,1.19309,1.19085,1.19085,6883,
1668772800,1.19091,1.1919,1.18889,1.19089,7716,
1668715200,1.18508,1.18579,1.18424,1.18502,6656,
1668718800,1.18504,1.18622,1.1840600000000001,1.18616,6138,
1668722400,1.18615,1.18666,1.18586,1.18629,1826,
1668726000,1.18615,1.18658,1.18586,1.18631,2602,
1668776400,1.19086,1.19395,1.18956,1.18988,6676,
1668780000,1.1898900000000001,1.19283,1.18915,1.19049,9241,
1668783600,1.19049,1.19093,1.18793,1.1884000000000001,10608,
1668787200,1.1884000000000001,1.19364,1.18723,1.1928,11302,
1668790800,1.19278,1.19322,1.18917,1.18994,7776,
1668794400,1.18994,1.19028,1.18714,1.18777,8091,
1668798000,1.18777,1.18887,1.18737,1.18791,6649,
1668801600,1.18792,1.1890100000000001,1.18749,1.18889,5457,
1668805200,1.18889,1.18992,1.18794,1.18825,5612,
1668808800,1.18825,1.18835,1.1878199999999999,1.1883,2717,
1668985200,1.18978,1.18983,1.18845,1.18871,265,
1668988800,1.18884,1.18955,1.18786,1.18832,5335,
1668992400,1.18833,1.18849,1.18616,1.18647,5326,
1668996000,1.18647,1.18675,1.18446,1.18555,6938,
1668999600,1.18554,1.18557,1.18351,1.1835499999999999,5921,
1669003200,1.1835499999999999,1.18535,1.18349,1.18532,4711,
1669006800,1.18532,1.18549,1.18269,1.18335,5320,
1669010400,1.18336,1.18342,1.18195,1.18313,6680,
1669014000,1.18313,1.18388,1.18053,1.18081,7275,
1669017600,1.18086,1.1838,1.18061,1.1817,7838,
1669021200,1.18169,1.1837,1.18049,1.18131,9929,
1669024800,1.18132,1.1819600000000001,1.17913,1.18041,9926,
1669028400,1.18042,1.18193,1.17969,1.18176,7817,
1669032000,1.18177,1.18288,1.18027,1.18075,6970,
1669035600,1.1807400000000001,1.18105,1.1783299999999999,1.18057,8289,
1669039200,1.18057,1.18151,1.17981,1.1807699999999999,8211,
1669042800,1.18078,1.1826,1.17968,1.18166,9375,
1669046400,1.18166,1.18234,1.17788,1.1783,9067,
1669050000,1.17831,1.17971,1.17771,1.17821,7858,
