id,symbol,direction,entry_time,entry_price,exit_time,exit_price,sl_price,tp_price,size,pnl_pips,exit_reason,entry_signal_data,created_at,entry_model,signal_timeframe
183,EURCAD,long,2026-02-12 20:26:35.761161,1.61507000,2026-02-12 21:36:46.378592,1.61555000,1.61207000,1.61807000,0.3000,4.80,model_exit,,2026-02-12 21:36:46.42655,Hybrid_V4 + SMA20_50_BB_long,
184,EURCAD,long,2026-02-12 23:00:59.493544,1.61545000,2026-02-13 00:36:26.499843,1.61563000,1.61245000,1.61845000,0.4900,1.80,model_exit,,2026-02-13 00:36:26.533126,Hybrid_V4 + SMA20_50_BB_long,
185,USDCAD,short,2026-02-13 04:30:25.037148,1.36152000,2026-02-13 05:10:36.494264,1.36201000,1.36452000,1.35852000,0.2800,-4.90,model_exit,,2026-02-13 05:10:36.521215,Hybrid_V4 + MACD_Stoch_short,
186,GBPUSD,long,2026-02-13 04:30:24.721192,1.36153000,2026-02-13 08:37:50.782537,1.36183000,1.35853000,1.36453000,0.6100,3.00,model_exit,,2026-02-13 08:37:50.813484,Hybrid_V4 + MACD_Stoch_long,
188,EURCAD,long,2026-02-13 09:00:56.087494,1.61387000,2026-02-13 11:35:32.803025,1.61473000,1.61087000,1.61687000,0.3600,8.60,model_exit,,2026-02-13 11:35:32.839138,Hybrid_V4 + SMA20_50_BB_long,
189,EURUSD,long,2026-02-13 09:00:55.630446,1.18633000,2026-02-13 12:19:48.807816,1.18583000,1.18333000,1.18933000,0.5400,-5.00,model_exit,,2026-02-13 12:19:48.875904,Hybrid_V4 + Stoch_K_oversold_long_25,
190,USDCAD,long,2026-02-13 10:00:16.86599,1.36042000,2026-02-13 12:19:49.039778,1.36225000,1.35742000,1.36342000,0.4600,18.30,model_exit,,2026-02-13 12:19:49.065935,Hybrid_V4 + MACD_Stoch_long,
191,EURCAD,long,2026-02-13 12:05:02.936081,1.61561000,2026-02-13 13:06:00.714418,1.61634000,1.61261000,1.61861000,0.4700,7.30,model_exit,,2026-02-13 13:06:00.761655,Hybrid_V4 + SMA20_50_BB_long,
192,EURCAD,long,2026-02-13 14:00:17.036863,1.61518000,2026-02-13 14:35:26.887113,1.61535000,1.61218000,1.61818000,0.5300,1.70,model_exit,,2026-02-13 14:35:26.959337,Hybrid_V4 + MACD_cross_long,
193,EURCAD,long,2026-02-13 14:01:17.38408,1.61516000,2026-02-13 15:35:43.379459,1.61570000,1.61216000,1.61816000,0.2200,5.40,model_exit,,2026-02-13 15:35:43.414578,Hybrid_V4 + SMA20_50_BB_long,
194,USDCAD,long,2026-02-13 14:00:16.708495,1.36010000,2026-02-13 15:49:46.777527,1.36310000,1.35710000,1.36310000,0.6200,30.00,tp_hit,,2026-02-13 15:49:46.782061,Hybrid_V4 + SMA20_50_BB_long,
195,EURCAD,long,2026-02-13 16:02:10.350181,1.61559000,2026-02-13 17:05:40.886177,1.61637000,1.61259000,1.61859000,0.4900,7.80,model_exit,,2026-02-13 17:05:40.928976,Hybrid_V4 + SMA20_50_BB_long,
196,USDCAD,long,2026-02-13 16:02:10.196111,1.36333000,2026-02-13 17:15:44.104727,1.36033000,1.36033000,1.36633000,0.5600,-30.00,sl_hit,,2026-02-13 17:15:44.1102,Hybrid_V4 + SMA20_50_BB_long,
197,USDCAD,short,2026-02-13 17:00:39.011042,1.36198000,2026-02-13 17:35:51.084014,1.36061000,1.36498000,1.35898000,0.1900,13.70,model_exit,,2026-02-13 17:35:51.128522,Hybrid_V4 + MACD_Stoch_short,
198,EURCAD,long,2026-02-13 19:30:30.288826,1.61591000,2026-02-13 20:05:42.301681,1.61626000,1.61291000,1.61891000,0.2300,3.50,model_exit,,2026-02-13 20:05:42.353667,Hybrid_V4 + MACD_Stoch_long,
199,EURCAD,long,2026-02-13 18:00:58.761025,1.61548000,2026-02-13 20:35:53.358563,1.61664000,1.61248000,1.61848000,0.5500,11.60,model_exit,,2026-02-13 20:35:53.397044,Hybrid_V4 + SMA20_50_BB_long,
200,EURCAD,long,2026-02-13 21:30:12.573554,1.61707000,2026-02-13 22:05:25.221544,1.61616000,1.61407000,1.62007000,0.2000,-9.10,model_exit,,2026-02-13 22:05:25.27797,Hybrid_V4 + MACD_cross_long,
201,USDCAD,long,2026-02-13 20:00:40.10431,1.36214000,2026-02-13 22:35:35.167418,1.36177000,1.35914000,1.36514000,0.4300,-3.70,model_exit,,2026-02-13 22:35:35.206047,Hybrid_V4 + SMA20_50_BB_long,
205,EURCAD,long,2026-02-16 00:00:14.727339,1.61598000,2026-02-16 02:05:49.336022,1.61544000,1.61298000,1.61898000,0.2200,-5.40,model_exit,,2026-02-16 02:05:49.376746,Hybrid_V4 + SMA20_50_BB_long,
206,GBPUSD,short,2026-02-16 00:00:14.595475,1.36460000,2026-02-16 04:05:20.931432,1.36422000,1.36760000,1.36160000,0.2700,3.80,model_exit,,2026-02-16 04:05:20.971399,Hybrid_V4 + SMA20_50_BB_short,
207,USDCAD,long,2026-02-16 08:00:49.322269,1.36078000,2026-02-16 10:05:58.074081,1.36198000,1.35778000,1.36378000,1.0000,12.00,model_exit,,2026-02-16 10:05:58.373664,Hybrid_V4 + SMA20_50_BB_long,
208,EURCAD,long,2026-02-16 08:00:49.648234,1.61424000,2026-02-16 10:05:58.526775,1.61563000,1.61124000,1.61724000,1.0000,13.90,model_exit,,2026-02-16 10:05:58.666902,Hybrid_V4 + SMA20_50_BB_long,
209,USDCAD,short,2026-02-16 11:00:18.017238,1.36161000,2026-02-16 11:35:31.615196,1.36243000,1.36461000,1.35861000,0.3900,-8.20,model_exit,,2026-02-16 11:35:31.867795,Hybrid_V4 + MACD_Stoch_short,
210,EURCAD,long,2026-02-16 11:00:18.472297,1.61577000,2026-02-16 12:05:10.544469,1.61561000,1.61277000,1.61877000,0.3500,-1.60,model_exit,,2026-02-16 12:05:10.687824,Hybrid_V4 + SMA20_50_BB_long,
211,EURCAD,long,2026-02-16 13:00:45.564699,1.61542000,2026-02-16 14:52:40.716127,1.61569000,1.61242000,1.61842000,0.3200,2.70,model_exit,,2026-02-16 14:52:40.990816,Hybrid_V4 + SMA20_50_BB_long,
212,USDCAD,long,2026-02-16 12:00:08.24044,1.36235000,2026-02-16 15:35:36.645321,1.36334000,1.35935000,1.36535000,0.3200,9.90,model_exit,,2026-02-16 15:35:36.783823,Hybrid_V4 + SMA20_50_BB_long,
213,GBPUSD,short,2026-02-16 12:00:07.923388,1.36443000,2026-02-16 16:05:48.700644,1.36301000,1.36743000,1.36143000,0.3500,14.20,model_exit,,2026-02-16 16:05:48.862522,Hybrid_V4 + SMA20_50_BB_short,
214,EURCAD,long,2026-02-16 16:00:45.082254,1.61551000,2026-02-16 17:35:57.923114,1.61569000,1.61251000,1.61851000,0.3500,1.80,model_exit,,2026-02-16 17:35:58.219392,Hybrid_V4 + SMA20_50_BB_long,
215,USDCAD,long,2026-02-16 16:05:48.938766,1.36304000,2026-02-16 18:18:49.702162,1.36344000,1.36004000,1.36604000,0.3500,4.00,orphan_close,,2026-02-16 18:18:49.729239,Hybrid_V4 + SMA20_50_BB_long,
216,EURUSD,long,2026-02-16 18:00:29.573984,1.18494000,2026-02-16 18:19:25.702441,1.18487000,1.18194000,1.18794000,0.3500,-0.70,orphan_close,,2026-02-16 18:19:25.708379,Hybrid_V4 + Stoch_K_oversold_long_25,
217,GBPUSD,short,2026-02-16 18:00:29.850045,1.36279000,2026-02-16 18:20:01.702181,1.36319000,1.36579000,1.35979000,0.3200,-4.00,orphan_close,,2026-02-16 18:20:01.710658,Hybrid_V4 + SMA20_50_BB_short,
218,USDCAD,long,2026-02-16 20:00:44.388691,1.36349000,2026-02-16 22:05:31.625802,1.36374000,1.36049000,1.36649000,0.3900,2.50,model_exit,,2026-02-16 22:05:31.803899,Hybrid_V4 + SMA20_50_BB_long,
